,Company,Ticker,Stock Price,Trailing P/E Ratio,Shares Held by Institutions,% Float Held by Institutions,Forward Divident Yield,Forward Dividend,Last Year Dividend,2021 Dividend,2020 Dividend,2019 Dividend
0,American Airlines Group Inc. (AAL),AAL,16.83,2.81,55.52%,,,,0.0,0.0,0.1,0.4
1,Atlantic American Corporation (AAME),AAME,2.4900,17.43,5.62%,,0.85%,0.02,0.02,0.02,0.0,0.02
2,"Applied Optoelectronics, Inc. (AAOI)",AAOI,2.3500,,33.23%,,,,0.0,0.0,0.0,0.0
3,"AAON, Inc. (AAON)",AAON,76.74,59.35,71.75%,,0.63%,0.48,0.43,0.38,0.38,0.32
4,Apple Inc. (AAPL),AAPL,133.41,21.21,60.85%,,0.71%,0.92,0.91,0.865,0.8074999999999999,0.76
5,"Atlas Air Worldwide Holdings, Inc. (AAWW)",AAWW,101.82,8.13,115.19%,,,,0.0,0.0,0.0,0.0
6,Ameris Bancorp (ABCB),ABCB,48.97,9.70,90.30%,,1.24%,0.6,0.6,0.6,0.6,0.5
7,"ARCA biopharma, Inc. (ABIO)",ABIO,2.3500,,38.64%,,,,0.0,0.0,0.0,0.0
8,"Abiomed, Inc. (ABMD)",ABMD,381.02,65.36,97.09%,,,,0.0,0.0,0.0,0.0
9,ACADIA Pharmaceuticals Inc. (ACAD),ACAD,18.34,,95.10%,,,,0.0,0.0,0.0,0.0
10,"Adicet Bio, Inc. (ACET)",ACET,8.60,,110.21%,,,,0.0,0.0,0.0,0.0
11,"Acorn Energy, Inc. (ACFN)",ACFN,0.3810,,10.92%,,,,0.0,0.0,0.0,0.0
12,Arch Capital Group Ltd. (ACGL),ACGL,63.07,20.48,92.47%,,,,0.0,0.0,0.0,0.0
13,"Acadia Healthcare Company, Inc. (ACHC)",ACHC,83.98,26.96,104.30%,,,,0.0,0.0,0.0,0.0
14,Achison Inc. (ACHN),ACHN,0.1200,,0.00%,,,,0.0,0.0,0.0,0.0
15,"ACI Worldwide, Inc. (ACIW)",ACIW,26.97,19.77,101.01%,,,,0.0,0.0,0.0,0.0
16,"Axcelis Technologies, Inc. (ACLS)",ACLS,97.67,18.24,89.55%,,,,0.0,0.0,0.0,0.0
17,ACNB Corporation (ACNB),ACNB,38.58,11.12,29.45%,,2.93%,1.12,1.06,1.03,1.0,0.98
18,"Acorda Therapeutics, Inc. (ACOR)",ACOR,0.9284,0.94,25.80%,,,,0.0,0.0,0.0,0.0
19,"AcelRx Pharmaceuticals, Inc. (ACRX)",ACRX,2.5000,0.35,12.35%,,,,0.0,0.0,0.0,0.0
20,Acasti Pharma Inc. (ACST),ACST,0.7092,,0.21%,,,,0.0,0.0,0.0,0.0
21,Acacia Research Corporation (ACTG),ACTG,4.2900,8.23,61.75%,,,,0.0,0.0,0.0,0.0
22,"Acura Pharmaceuticals, Inc. (ACUR)",ACUR,0.0500,7.00,3.01%,,,,0.0,0.0,0.0,0.0
